T001 | Profundidade e Sem Preservação
T095 | Distância Máxima e Preservando Maior Isovista
T096 | Distância Máxima e Preservando Profundidade
T097 | Distância Máxima, Profundidade e Sem Preservação
T098 | Distância Máxima, Profundidade e Preservando Maior Isovista
T099 | Distância Máxima, Profundidade e Preservando Profundidade
T100 | Distância Máxima, Ruas Vistas e Sem Preservação
T101 | Distância Máxima, Ruas Vistas e Preservando Maior Isovista
T102 | Distância Máxima, Ruas Vistas e Preservando Profundidade
T103 | Distância Máxima, Ruas Vistas, Profundidade e Sem Preservação
T104 | Distância Máxima, Ruas Vistas, Profundidade e Preservando Maior Isovista
T105 | Distância Máxima, Ruas Vistas, Profundidade e Preservando Profundidade
T106 | Distância Máxima, Prédios Vistos e Sem Preservação
T107 | Distância Máxima, Prédios Vistos e Preservando Maior Isovista
T108 | Distância Máxima, Prédios Vistos e Preservando Profundidade
T109 | Distância Máxima, Prédios Vistos, Profundidade e Sem Preservação
T110 | Distância Máxima, Prédios Vistos, Profundidade e Preservando Maior Isovista
T111 | Distância Máxima, Prédios Vistos, Profundidade e Preservando Profundidade
T112 | Distância Máxima, Prédios Vistos, Ruas Vistas e Sem Preservação
T113 | Distância Máxima, Prédios Vistos, Ruas Vistas e Preservando Maior Isovista
T114 | Distância Máxima, Prédios Vistos, Ruas Vistas e Preservando Profundidade
T115 | Distância Máxima, Prédios Vistos, Ruas Vistas, Profundidade e Sem Preservação
T116 | Distância Máxima, Prédios Vistos, Ruas Vistas, Profundidade e Preservando Maior Isovista
T117 | Distância Máxima, Prédios Vistos, Ruas Vistas, Profundidade e Preservando Profundidade
T118 | Distância Máxima, Objetos Vistos e Sem Preservação
T119 | Distância Máxima, Objetos Vistos e Preservando Maior Isovista
T120 | Distância Máxima, Objetos Vistos e Preservando Profundidade
T121 | Distância Máxima, Objetos Vistos, Profundidade e Sem Preservação
T122 | Distância Máxima, Objetos Vistos, Profundidade e Preservando Maior Isovista
T123 | Distância Máxima, Objetos Vistos, Profundidade e Preservando Profundidade
T124 | Distância Máxima, Objetos Vistos, Ruas Vistas e Sem Preservação
